Country,Year,Month,D6725_4,I6725_5,I6725_6,I6725_7,I6725_8,I6725_9,I6725_10,I6725_11,I6725_12,I6725_13,I6725_14,I6725_15,I6725_16,I6725_17,I6725_18,I6725_19,I6725_20,I6725_21
India,"Financial Year (Apr - Mar), 2003","July, 2003", 25-Jul-2003,727401.0,43277.0,684124.0,88905.0,3544.0,8878.0,1370.0,7508.0,76484.0,46164.0,30320.0,773423.0,,,,393.0,
India,"Financial Year (Apr - Mar), 2003","August, 2003", 22-Aug-2003,727244.0,41283.0,685962.0,88628.0,3715.0,8604.0,1349.0,7255.0,76310.0,46312.0,29998.0,774983.0,,,,393.0,
India,"Financial Year (Apr - Mar), 2003","August, 2003", 8-Aug-2003,728675.0,43251.0,685424.0,88390.0,3697.0,8655.0,1387.0,7267.0,76039.0,46078.0,29961.0,774207.0,,,,393.0,
India,"Financial Year (Apr - Mar), 2003","September, 2003", 19-Sep-2003,735546.0,37465.0,698081.0,90221.0,3928.0,9016.0,1295.0,7720.0,77278.0,46850.0,30428.0,788996.0,,,,693.0,
India,"Financial Year (Apr - Mar), 2003","September, 2003", 5-Sep-2003,732904.0,41606.0,691298.0,89841.0,3894.0,8624.0,1318.0,7306.0,77322.0,46736.0,30587.0,781831.0,,,,693.0,
India,"Financial Year (Apr - Mar), 2003","October, 2003", 17-Oct-2003,752411.0,34151.0,718260.0,91351.0,4582.0,8737.0,1323.0,7414.0,78033.0,47614.0,30419.0,810255.0,,,,644.0,
India,"Financial Year (Apr - Mar), 2003","October, 2003", 3-Oct-2003,752068.0,37372.0,714696.0,90871.0,4068.0,9081.0,1356.0,7725.0,77722.0,47561.0,30162.0,806211.0,,,,644.0,
India,"Financial Year (Apr - Mar), 2003","October, 2003", 31-Oct-2003,761210.0,36020.0,725189.0,90422.0,4093.0,8614.0,1294.0,7320.0,77715.0,47778.0,29937.0,816255.0,,,,644.0,
India,"Financial Year (Apr - Mar), 2003","November, 2003", 14-Nov-2003,761926.0,35439.0,726487.0,90974.0,4270.0,8577.0,1292.0,7285.0,78126.0,47924.0,30202.0,817815.0,,,,354.0,
India,"Financial Year (Apr - Mar), 2003","November, 2003", 28-Nov-2003,766636.0,36461.0,730175.0,90214.0,3844.0,8585.0,1306.0,7279.0,77786.0,47764.0,30022.0,820743.0,,,,354.0,
